Index,scenario,question,optionCount,A,B,C,D,E,F,answer,hint
1,The number of accidents on a one mile stretch of the Pennsylvania turnpike is thought to be independent and have the same mean from week to week.  ,The distribution of the number for one week would then follow,4, An exponential distribution,A Poisson distribution, A discrete uniform distribution  ,A geometric distribution,,,A Poisson distribution,The number of rare events in a process with independent increments.
1,The number of accidents on a one mile stretch of the Pennsylvania turnpike is thought to be independent and have the same mean from week to week.  ,"Data on the number of accidents is collected for each of five weeks and comes out to 2, 5, 2, 3, and 4 accidents.  If you want to estimate the mean number, \(\lambda\), of accidents per week on this one mile stretch then the MLE would be the value of \(\lambda\) that maximizes",4,\(\frac{\lambda^{16} e^{-5\lambda}}{2!5!3!4!}\),\( -5\lambda+16ln(\lambda)\),\(\lambda^{16} e^{-5\lambda}\),All of the above,,,All of the above,How does rescaling or taking logarithms affect the maximization problem?
2,"Twenty randomly selected adults over 50 years of age in Pennsylvania are asked if they have been vaccinated for shingles giving observations \( x_1, x_2, …, x_{20} \ (x_i = 1 \text{ if yes and  0 if no} ) \) of the random variables \( X_1,…,X_{20}\).",The random variable \( X_7\) would then follow a,4,Geometric distribution,Bernoulli distribution,Normal distribution,Poisson distribution,,,Bernoulli distribution,Values can only be 0 or 1
2,"Twenty randomly selected adults over 50 years of age in Pennsylvania are asked if they have been vaccinated for shingles giving observations \( x_1, x_2, …, x_{20} \ (x_i = 1 \text{ if yes and 0 if no} ) \) of the random variables \( X_1,…,X_{20}\).","These observations are to be used to estimate the probability, \(\theta\), that a randomly selected Pennsylvanian over 50 has been vaccinated for shingles. To find the MLE of \(\theta\), you would",4,"maximize \(\theta^{\sum{x_i}} (1-\theta)^{\sum{1-x_i}}\) over the possible vectors \(\ (x_1, x_2, …, x_{20}) \)",maximize \(\theta^{\sum{x_i}} (1-\theta)^{\sum{1-x_i}}\) over the possible values of \(\theta\),"maximize \(\theta^{\sum{x_i}} (1-\theta)^{\sum{1-x_i}}\) over the possible values of \( \theta\) & vectors \(\ (x_1, x_2, …, x_{20}) \)",none of the above,,,maximize \(\theta^{\sum{x_i}} (1-\theta)^{\sum{1-x_i}}\) over the possible values of \(\theta\),What is the parameter and what are the data
3,The following will be independent questions.,"Suppose Y = the time (hours) it takes a programmer to complete and debug a computer program has the pdf \(\ f(y) = e ^{-(y-\alpha)} \text{ for y } > \alpha \text{ (= 0 otherwise)} \). Ten programs are assigned to be completed and the times to completion for each, \( Y_1, Y_2, …, Y_{10} \), are independent and identically distributed with the pdf, f, above.  The MLE of \(\alpha\) would be then be the",4,"mean of \( Y_1, Y_2, …, Y_{10} \)","median of \( Y_1, Y_2, …, Y_{10} \)","minimum of \( Y_1, Y_2, …, Y_{10} \)","maximum of \( Y_1, Y_2, …, Y_{10} \)",,,"minimum of \( Y_1, Y_2, …, Y_{10} \)",The pdf has no probability below \(\alpha\).
3,The following will be independent questions.,"In Pennsylvania, some roads have a mile-marker every tenth of a mile, while others only have mile-markers every mile.  A car is driving east and breaks down.  The driver decides to push his car to the next mile marker in that direction so it will be easy for a tow truck to find him when he calls for emergency service.  A tow service gets a call that a driver is stranded after pushing his car \(\frac{1}{20} \) of a mile.  What is the MLE of the type of mile-markers on that road (markers every tenth mile or markers every mile)?",3,every tenth of a mile,every mile,every \(\frac{1}{20}\) th of a mile,,,,every tenth of a mile,There are only two possible values for the parameter – which has a higher likelihood?
3,The following will be independent questions.,Which of the following is a consequence of the invariance property of maximum likelihood (where \(\theta\) is a parameter of the distribution of X )?,4,The MLE of \(\log( \theta ) \) is the log of the MLE of \(\theta\) using data from observing X.,"Since \(\theta\) is still a parameter of the distribution of Y = \(\log(X)\), then data based observing Y will give the same MLE for \(\theta\) as when the data are based on observing X.","Since \(\ln( \theta ) \)is still a parameter of the distribution of Y = \(\log(X)\), then the MLE of that parameter based on observing Y will give the log of the MLE of \(\theta\) as when the data are based on observing X.",The MLE of \(\log(\theta)\) has the same variance as the MLE of \(\theta\).,,,The MLE of \(\log( \theta ) \) is the log of the MLE of \(\theta\) using data from observing X.,The invariance property relates to one-to-one functions of a parameter.
4,The following will be TRUE or FALSE questions. ,True or False:  Maximum Likelihood Estimators are always unbiased.,2,TRUE,FALSE,,,,,FALSE,"As an example think about the MLE for \(\theta\), based on data from a Uniform(0, \(\theta\) ) distribution."
4,The following will be TRUE or FALSE questions. ,"True or False: If \( X_1, X_2, …, X_n \) are i.i.d. with cdf \(  F(x) = 1- e^{-θx} \text{ for x > 0 (= 0 otherwise) } \), then the MLE for \(\theta\) can be found by finding the value of \(\theta\) that maximizes \(\prod F(x_i) \)",2,TRUE,FALSE,,,,,FALSE,Remember that F is the cdf.
5,"In a mining operation, the proportion, X, of a mineral that is found in a sample piece of ore follows the Beta distribution with parameters \(\alpha\) and 1 so its pdf is given by \(f(x)=\begin{cases} \alpha x^{\alpha-1} & \text{ for } 0<x<1 \\ 0 & \text{otherwise}\end{cases}\)
Twenty sample ores are removed from the mine providing independent observations \( x_1, x_2, …, x_{20} \).",Which of the following will lead you to the maximum likelihood estimate of \(\alpha\) ?,6,a. Maximizing the likelihood with respect to the average of the data,b. Maximizing the likelihood with respect to \(\alpha\),c. Maximizing the log of the likelihood respect to the average of the data,d. Maximizing the log of the likelihood respect to \(\alpha\),Both a and c,Both b and d,Both b and d,"Since log is a monotonic function, its maximum occurs at the same point."
